timestamp,open,high,low,close
2023-06-23 00:00:00-05:30,560.5,560.5,560.5,560.5
2023-06-23 00:00:00-05:30,560.6,560.6,560.6,560.6
2023-06-23 00:00:00-05:30,560.65,560.7,560.65,560.7
2023-06-23 00:00:00-05:30,560.75,560.75,560.75,560.75
2023-06-23 00:00:00-05:30,560.8,560.8,560.8,560.8
2023-06-23 00:00:00-05:30,560.85,560.85,560.85,560.85
2023-06-23 00:00:00-05:30,560.8,560.8,560.8,560.8
2023-06-23 00:00:00-05:30,560.9,560.9,560.8,560.8
2023-06-23 00:00:00-05:30,560.9,560.9,560.9,560.9
2023-06-23 00:00:00-05:30,560.85,560.9,560.85,560.85
2023-06-23 00:00:00-05:30,560.9,560.9,560.85,560.85
2023-06-23 00:00:00-05:30,560.95,560.95,560.95,560.95
2023-06-23 00:00:00-05:30,560.9,560.9,560.9,560.9
2023-06-23 00:00:00-05:30,560.75,560.9,560.75,560.9
2023-06-23 00:00:00-05:30,560.75,560.75,560.75,560.75
2023-06-23 00:00:00-05:30,560.7,560.7,560.7,560.7
2023-06-23 00:00:00-05:30,560.85,560.85,560.85,560.85
2023-06-23 00:00:00-05:30,560.9,560.9,560.9,560.9
2023-06-23 00:00:00-05:30,560.7,560.7,560.7,560.7
2023-06-23 00:00:00-05:30,560.8,560.8,560.8,560.8
2023-06-23 00:00:00-05:30,560.85,560.85,560.85,560.85
2023-06-23 00:00:00-05:30,560.9,560.9,560.9,560.9
2023-06-23 00:00:00-05:30,560.85,560.9,560.85,560.9
2023-06-23 00:00:00-05:30,560.85,560.9,560.85,560.9
2023-06-23 00:00:00-05:30,560.75,560.8,560.75,560.8
2023-06-23 00:00:00-05:30,560.85,560.85,560.85,560.85
2023-06-23 00:00:00-05:30,560.8,560.85,560.8,560.85
2023-06-23 00:00:00-05:30,560.8,560.8,560.8,560.8
2023-06-23 00:00:00-05:30,560.9,560.9,560.8,560.8
2023-06-23 00:00:00-05:30,560.9,560.9,560.8,560.8
2023-06-23 00:00:00-05:30,560.75,560.75,560.75,560.75
2023-06-23 00:00:00-05:30,560.8,560.8,560.8,560.8
2023-06-23 00:00:00-05:30,560.75,560.75,560.75,560.75
2023-06-23 00:00:00-05:30,560.85,560.85,560.85,560.85
2023-06-23 00:00:00-05:30,560.7,560.7,560.7,560.7
2023-06-23 00:00:00-05:30,560.9,560.9,560.9,560.9
2023-06-23 00:00:00-05:30,560.8,560.8,560.8,560.8
2023-06-23 00:00:00-05:30,560.9,560.9,560.9,560.9
2023-06-23 00:00:00-05:30,560.75,560.75,560.75,560.75
2023-06-23 00:00:00-05:30,560.8,560.8,560.8,560.8
2023-06-23 00:00:00-05:30,560.9,560.9,560.9,560.9
2023-06-23 00:00:00-05:30,560.85,560.85,560.85,560.85
2023-06-23 00:00:00-05:30,561.5,561.5,561.5,561.5
2023-06-23 00:00:00-05:30,561.4,561.55,561.4,561.55
2023-06-23 00:00:00-05:30,561.6,561.6,561.6,561.6
2023-06-23 00:00:00-05:30,561.5,561.6,561.5,561.6
2023-06-23 00:00:00-05:30,561.5,561.55,561.5,561.55
2023-06-23 00:00:00-05:30,561.6,561.6,561.6,561.6
2023-06-23 00:00:00-05:30,561.5,561.5,561.5,561.5
2023-06-23 00:00:00-05:30,561.35,561.5,561.35,561.4
2023-06-23 00:00:00-05:30,561.5,561.5,561.5,561.5
2023-06-23 00:00:00-05:30,561.45,561.45,561.45,561.45
2023-06-23 00:00:00-05:30,561.5,561.5,561.5,561.5
2023-06-23 00:00:00-05:30,561.55,561.55,561.55,561.55
2023-06-23 00:00:00-05:30,561.6,561.6,561.55,561.55
2023-06-23 00:00:00-05:30,561.65,561.65,561.65,561.65
2023-06-23 00:00:00-05:30,561.6,561.6,561.6,561.6
2023-06-23 00:00:00-05:30,561.8,561.85,561.65,561.85
2023-06-23 00:00:00-05:30,561.65,561.85,561.65,561.85
2023-06-23 00:00:00-05:30,561.9,561.9,561.8,561.8
2023-06-23 00:00:00-05:30,561.95,561.95,561.8,561.8
2023-06-23 00:00:00-05:30,561.9,561.9,561.9,561.9
2023-06-23 00:00:00-05:30,561.85,562,561.85,562
2023-06-23 00:00:00-05:30,561.85,561.85,561.85,561.85
2023-06-23 00:00:00-05:30,561.9,562,561.9,562
2023-06-23 00:00:00-05:30,562.15,562.15,562.15,562.15
2023-06-23 00:00:00-05:30,561.9,562.05,561.9,562.05
2023-06-23 00:00:00-05:30,562,562,562,562
2023-06-23 00:00:00-05:30,562.1,562.1,562.05,562.05
2023-06-23 00:00:00-05:30,561.8,561.8,561.7,561.7
2023-06-23 00:00:00-05:30,561.9,561.9,561.65,561.65
2023-06-23 00:00:00-05:30,561.85,561.85,561.85,561.85
2023-06-23 00:00:00-05:30,561.65,561.85,561.65,561.85
2023-06-23 00:00:00-05:30,561.9,561.9,561.85,561.85
2023-06-23 00:00:00-05:30,561.95,561.95,561.95,561.95
2023-06-23 00:00:00-05:30,562,562,561.9,561.9
2023-06-23 00:00:00-05:30,562.1,562.1,562.1,562.1
2023-06-23 00:00:00-05:30,562.15,562.15,562.15,562.15
2023-06-23 00:00:00-05:30,562.1,562.35,562.1,562.35
2023-06-23 00:00:00-05:30,562.4,562.4,562.2,562.35
2023-06-23 00:00:00-05:30,562.2,562.4,562.2,562.4
2023-06-23 00:00:00-05:30,562.35,562.4,562.35,562.4
2023-06-23 00:00:00-05:30,562.3,562.3,562.2,562.2
2023-06-23 00:00:00-05:30,562.35,562.35,562.35,562.35
2023-06-23 00:00:00-05:30,562.3,562.3,562.3,562.3
2023-06-23 00:00:00-05:30,562.35,562.35,562.35,562.35
2023-06-23 00:00:00-05:30,562.05,562.05,562.05,562.05
